"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-08-26 22:35:20",1756247720025,"proofofputt-backend.vercel.app/login","POST","",-1,"hv5zl-1756247719653-157d06c2b581","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api.py","proofofputt-backend.vercel.app","proofofputt-backend.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",-1,"iad1",-1,-1,"127.0.0.1 - - [26/Aug/2025 22:35:20] ""POST /login HTTP/1.1"" 200 -","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M8AZR0RCW28ABA00ZP87PD","",-1
"2025-08-26 22:35:19",1756247719680,"proofofputt-backend.vercel.app/login","POST","",200,"hv5zl-1756247719653-157d06c2b581","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api.py","proofofputt-backend.vercel.app","proofofputt-backend.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",332,"iad1",171,2048,"","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M8AZR0RCW28ABA00ZP87PD","3nF4L2W188pb",1
"2025-08-26 22:35:19",1756247719609,"proofofputt-backend.vercel.app/login","OPTIONS","",-1,"g4krn-1756247719557-f06bfc9934f5","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api.py","proofofputt-backend.vercel.app","proofofputt-backend.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",-1,"iad1",-1,-1,"127.0.0.1 - - [26/Aug/2025 22:35:19] ""OPTIONS /login HTTP/1.1"" 200 -","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M8AZNDF86P2MKJD498BHRR","",-1
"2025-08-26 22:35:19",1756247719597,"proofofputt-backend.vercel.app/login","OPTIONS","",200,"g4krn-1756247719557-f06bfc9934f5","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api.py","proofofputt-backend.vercel.app","proofofputt-backend.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",4,"iad1",171,2048,"","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M8AZNDF86P2MKJD498BHRR","3nF4L2W188pb",1
"2025-08-26 22:35:11",1756247711957,"proofofputt-backend.vercel.app/login","POST","",-1,"t8z7x-1756247711645-647f2e218abb","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api.py","proofofputt-backend.vercel.app","proofofputt-backend.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",-1,"iad1",-1,-1,"127.0.0.1 - - [26/Aug/2025 22:35:11] ""POST /login HTTP/1.1"" 401 -","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M8AQX19CWVHGPWGHXAKMY7","",-1
"2025-08-26 22:35:11",1756247711649,"proofofputt-backend.vercel.app/login","POST","",401,"t8z7x-1756247711645-647f2e218abb","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","warning","production","main","","lambda","/api.py","proofofputt-backend.vercel.app","proofofputt-backend.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",301,"iad1",171,2048,"","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M8AQX19CWVHGPWGHXAKMY7","3nF4L2W188pb",1
"2025-08-26 22:35:11",1756247711604,"proofofputt-backend.vercel.app/login","OPTIONS","",-1,"t8z7x-1756247711488-5e28f53695e2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api.py","proofofputt-backend.vercel.app","proofofputt-backend.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",-1,"iad1",-1,-1,"127.0.0.1 - - [26/Aug/2025 22:35:11] ""OPTIONS /login HTTP/1.1"" 200 -","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M8AQTZGVG9PMBWZJQ7N5NJ","",-1
"2025-08-26 22:35:11",1756247711583,"proofofputt-backend.vercel.app/login","OPTIONS","",200,"t8z7x-1756247711488-5e28f53695e2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","info","production","main","","lambda","/api.py","proofofputt-backend.vercel.app","proofofputt-backend.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",6,"iad1",171,2048,"","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M8AQTZGVG9PMBWZJQ7N5NJ","3nF4L2W188pb",1
"2025-08-26 22:34:26",1756247666013,"proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app/favicon.png","GET","",-1,"rgskq-1756247665956-43117dafc26c","vercel-favicon/1.0","info","production","main","","lambda","/api.py","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",-1,"iad1",-1,-1,"127.0.0.1 - - [26/Aug/2025 22:34:26] ""GET /favicon.png HTTP/1.1"" 500 -","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M89BACCHQ330MFYX802VAS","",-1
"2025-08-26 22:34:26",1756247666013,"proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app/favicon.png","GET","",-1,"rgskq-1756247665956-43117dafc26c","vercel-favicon/1.0","error","production","main","","lambda","/api.py","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",-1,"iad1",-1,-1,"ERROR:api:An unexpected server error occurred: 404 Not Found: The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M89BACCHQ330MFYX802VAS","",-1
"2025-08-26 22:34:26",1756247666013,"proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app/favicon.png","GET","",-1,"rgskq-1756247665956-43117dafc26c","vercel-favicon/1.0","info","production","main","","lambda","/api.py","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",-1,"iad1",-1,-1,"werkzeug.exceptions.NotFound: 404 Not Found: The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M89BACCHQ330MFYX802VAS","",-1
"2025-08-26 22:34:26",1756247666013,"proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app/favicon.png","GET","",-1,"rgskq-1756247665956-43117dafc26c","vercel-favicon/1.0","info","production","main","","lambda","/api.py","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",-1,"iad1",-1,-1,"File ""/var/task/werkzeug/routing/map.py"", line 629, in match
    raise NotFound() from None","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M89BACCHQ330MFYX802VAS","",-1
"2025-08-26 22:34:26",1756247666013,"proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app/favicon.png","GET","",-1,"rgskq-1756247665956-43117dafc26c","vercel-favicon/1.0","info","production","main","","lambda","/api.py","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",-1,"iad1",-1,-1,"File ""/var/task/flask/ctx.py"", line 362, in match_request
    result = self.url_adapter.match(return_rule=True)  # type: ignore
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M89BACCHQ330MFYX802VAS","",-1
"2025-08-26 22:34:26",1756247666013,"proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app/favicon.png","GET","",-1,"rgskq-1756247665956-43117dafc26c","vercel-favicon/1.0","info","production","main","","lambda","/api.py","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",-1,"iad1",-1,-1,"File ""/var/task/flask/app.py"", line 500, in raise_routing_exception
    raise request.routing_exception  # type: ignore[misc]
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M89BACCHQ330MFYX802VAS","",-1
"2025-08-26 22:34:26",1756247666013,"proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app/favicon.png","GET","",-1,"rgskq-1756247665956-43117dafc26c","vercel-favicon/1.0","info","production","main","","lambda","/api.py","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",-1,"iad1",-1,-1,"File ""/var/task/flask/app.py"", line 891, in dispatch_request
    self.raise_routing_exception(req)","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M89BACCHQ330MFYX802VAS","",-1
"2025-08-26 22:34:26",1756247666013,"proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app/favicon.png","GET","",-1,"rgskq-1756247665956-43117dafc26c","vercel-favicon/1.0","info","production","main","","lambda","/api.py","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",-1,"iad1",-1,-1,"File ""/var/task/flask/app.py"", line 917, in full_dispatch_request
    rv = self.dispatch_request()
         ^^^^^^^^^^^^^^^^^^^^^^^","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M89BACCHQ330MFYX802VAS","",-1
"2025-08-26 22:34:26",1756247666012,"proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app/favicon.png","GET","",-1,"rgskq-1756247665956-43117dafc26c","vercel-favicon/1.0","info","production","main","","lambda","/api.py","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",-1,"iad1",-1,-1,"Traceback (most recent call last):","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M89BACCHQ330MFYX802VAS","",-1
"2025-08-26 22:34:25",1756247665996,"proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app/favicon.png","GET","",500,"rgskq-1756247665956-43117dafc26c","vercel-favicon/1.0","error","production","main","","lambda","/api.py","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",5,"iad1",171,2048,"","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M89BACCHQ330MFYX802VAS","3nF4L2W188pb",1
"2025-08-26 22:34:23",1756247663850,"proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app/favicon.png","GET","",-1,"7cwck-1756247663784-3feb6b31cb79","vercel-favicon/1.0","info","production","main","","lambda","/api.py","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",-1,"iad1",-1,-1,"127.0.0.1 - - [26/Aug/2025 22:34:23] ""GET /favicon.png HTTP/1.1"" 500 -","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M8996N4YBBMDTZ8X7PYSDR","",-1
"2025-08-26 22:34:23",1756247663850,"proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app/favicon.png","GET","",-1,"7cwck-1756247663784-3feb6b31cb79","vercel-favicon/1.0","error","production","main","","lambda","/api.py","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",-1,"iad1",-1,-1,"ERROR:api:An unexpected server error occurred: 404 Not Found: The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M8996N4YBBMDTZ8X7PYSDR","",-1
"2025-08-26 22:34:23",1756247663850,"proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app/favicon.png","GET","",-1,"7cwck-1756247663784-3feb6b31cb79","vercel-favicon/1.0","info","production","main","","lambda","/api.py","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","proofofputt-backend-hlh6wcb9d-nicholas-kirwans-projects.vercel.app","dpl_7JGRk8KQmMQeBfe6GfnGJZVvPqd1",-1,"iad1",-1,-1,"werkzeug.exceptions.NotFound: 404 Not Found: The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.","prj_vzDqzUy8vbtGgTYmqMKjOWC9LLFD","","","01K3M8996N4YBBMDTZ8X7PYSDR","",-1
